,customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
3144,15638003,648,Spain,Male,55,1,81370.07,1,0,1,181534.04
9939,15808971,693,Spain,Female,57,9,0.0,2,1,1,135502.77
7925,15800482,586,Spain,Female,33,7,0.0,2,1,1,168261.4
309,15746726,438,Germany,Male,31,8,78398.69,1,1,0,44937.01
9415,15750407,768,Germany,Female,43,2,129264.05,2,0,0,19150.14
7765,15613427,683,Germany,Female,49,7,108797.63,2,0,0,140763.18
7436,15671534,646,Germany,Female,57,6,90212.0,1,1,0,13911.27
1725,15574879,631,Germany,Female,37,2,121801.72,2,0,1,23146.62
7897,15639252,603,Spain,Male,30,6,129548.5,2,1,1,19282.85
2319,15681446,636,Germany,Female,37,9,157098.52,1,1,1,153535.27
5216,15671104,637,Spain,Male,43,3,172196.23,1,1,1,104769.96
2984,15694946,663,France,Male,35,9,0.0,2,1,1,195580.28
3009,15660200,551,France,Male,31,1,0.0,2,1,1,185105.44
6228,15733138,663,Germany,Male,42,5,90248.79,1,1,1,79169.73
7047,15731586,785,Spain,Female,31,2,121691.54,2,0,0,81778.72
5372,15688973,598,Spain,Female,39,5,0.0,2,1,1,83103.46
1595,15711378,677,France,Male,38,4,0.0,2,1,0,187800.63
1618,15662955,697,France,Male,27,8,141223.68,2,1,0,90591.15
2771,15715465,714,Germany,Male,28,7,77776.39,1,1,0,177737.07
4292,15800287,706,Spain,Female,46,2,127660.46,2,1,0,150156.82
7471,15721569,658,Germany,Female,55,8,119327.93,1,0,1,119439.66
608,15607170,699,France,Male,35,5,0.0,2,1,1,78397.24
4318,15803685,673,Germany,Female,77,10,76510.52,2,0,1,59595.66
1103,15780144,512,Germany,Female,32,2,123403.85,2,1,0,80120.19
3168,15680752,675,France,Female,49,0,0.0,1,1,1,80496.71
2079,15784736,562,France,Male,45,6,136855.24,1,1,0,46864.0
5047,15790412,471,Spain,Male,26,8,0.0,2,1,1,179655.87
5939,15709861,766,Germany,Male,30,4,127786.28,2,1,1,28879.3
7078,15682576,763,France,Male,67,1,149436.73,2,0,1,106282.74
1590,15651802,632,Spain,Female,39,5,97854.37,2,1,0,93536.38
3684,15714006,482,France,Female,35,2,133111.73,1,0,1,79957.95
8469,15799534,720,France,Male,71,5,183135.39,2,1,1,197688.5
1931,15652693,573,France,Female,26,4,129109.02,1,0,0,149814.68
3081,15603319,693,France,Male,29,2,151352.74,1,0,0,197145.89
8394,15597983,692,France,Male,69,10,154953.94,1,1,1,70849.47
8845,15635703,729,Germany,Female,39,1,131513.26,1,1,1,193715.0
6079,15739292,609,Germany,Male,31,9,103837.75,1,1,1,150218.11
6401,15579040,556,France,Female,46,10,0.0,2,0,0,109184.24
9165,15669946,663,Germany,Female,46,2,141726.88,1,1,1,58257.23
7689,15777452,587,France,Female,46,6,88820.29,1,0,0,70224.34
