,churn
3144,0
9939,0
7925,0
309,0
9415,0
7765,0
7436,1
1725,0
7897,0
2319,0
5216,0
2984,0
3009,0
6228,0
7047,0
5372,0
1595,0
1618,0
2771,0
4292,1
7471,0
608,0
4318,0
1103,0
3168,1
2079,0
5047,0
5939,0
7078,0
1590,0
3684,0
8469,0
1931,1
3081,0
8394,0
8845,0
6079,0
6401,0
9165,0
7689,0
4914,0
4412,0
4634,1
5167,1
9068,0
4770,0
1548,0
2602,0
2376,0
3734,0
8012,0
4127,1
2367,1
2030,0
7079,0
1388,1
8575,0
9862,0
585,1
2580,1
5730,0
7023,0
961,0
3110,1
9329,0
8783,1
5948,0
4728,0
7717,0
3139,0
8725,0
5844,0
8879,0
5886,0
9494,1
2616,0
2368,0
1975,0
3475,0
9219,0
2440,0
9908,0
3406,0
8558,0
9804,0
3388,0
7614,0
7626,0
754,0
9956,1
2107,0
1275,0
4863,0
97,0
9041,0
7848,0
2785,1
2551,0
9767,0
6374,0
103,0
5620,0
658,0
1957,1
2879,1
5356,1
4027,0
8017,0
4153,1
1906,0
5697,0
6498,0
390,0
2986,0
6394,0
8016,0
3233,0
785,0
4354,0
289,0
967,0
6100,0
9599,0
6186,1
7496,0
5251,0
7356,0
8556,0
9161,0
6953,0
1581,0
1977,1
9548,0
4508,0
8279,0
6445,0
6349,0
2044,0
1690,0
5995,0
8009,0
4003,0
3758,1
6448,0
2405,0
629,0
2029,0
756,0
630,1
7146,0
5441,0
9076,0
319,0
5162,0
4697,1
5495,0
6539,1
238,1
4440,0
3010,1
6252,0
9662,0
9391,0
829,0
5004,1
5665,0
7745,0
5577,0
3777,0
3827,1
5433,0
8278,0
2,1
1511,0
4874,0
6777,0
3403,0
8839,0
4218,1
6992,1
6091,0
4213,0
5439,0
1818,0
2263,0
6975,0
3114,1
5098,0
9562,0
9723,0
1059,0
3354,0
674,0
3643,0
927,0
9836,0
1000,0
45,0
995,0
5800,0
5769,0
3357,0
7729,1
1673,0
2542,1
2441,0
9847,0
1321,0
2097,0
5942,1
1349,0
3133,0
8612,0
9961,0
9959,0
5026,0
503,0
1846,0
8245,0
2390,0
8624,0
2232,0
3955,0
3200,0
3292,0
2868,1
9488,0
9446,0
767,1
4917,0
7441,0
2895,0
4691,0
9609,0
4969,0
5741,0
8562,1
2859,0
6569,1
6439,1
2001,0
2176,0
8456,0
2935,0
9083,0
7721,0
9538,0
601,0
7748,1
8633,0
6037,0
7735,1
3145,1
3618,1
2314,0
5556,0
8791,0
6652,0
5168,0
804,0
5619,0
4844,0
6611,0
1644,0
2453,0
1477,0
3791,0
4871,0
4240,0
1060,0
8942,0
2075,0
3461,0
552,0
9522,0
8203,0
5116,0
5621,0
6947,0
2866,0
4791,0
2750,1
5624,0
8478,0
4448,0
3147,0
4194,0
2774,0
2957,1
477,0
9581,0
4099,0
783,0
1917,1
594,0
4478,0
7377,0
6502,0
8406,0
3966,0
4643,1
4673,0
7562,0
1370,0
1981,0
8789,0
6016,0
3321,0
6768,0
2207,0
6926,0
2531,0
3633,0
1589,0
4505,0
1091,0
1457,0
1243,0
5832,0
4510,0
518,1
3374,0
1772,0
6930,0
7883,0
8191,0
9347,0
8411,0
2955,0
4211,1
4965,0
3658,1
4882,0
4149,0
3157,0
2308,0
8915,1
5208,0
6844,0
5502,0
1888,0
2609,0
4284,0
9960,1
2248,0
1918,0
9213,0
8258,0
2355,1
6809,0
8688,1
4659,0
2422,0
3294,1
7069,0
9928,0
5199,0
3950,0
11,0
1061,0
8808,1
271,1
4349,1
1254,1
5273,0
7291,1
8192,0
3844,0
1074,0
1085,1
6170,0
6959,0
2648,0
2734,0
4732,1
2794,1
4846,0
3436,0
7392,0
5898,0
7483,1
5847,1
2486,0
8927,0
8638,0
5629,0
8584,0
9313,0
4878,0
1962,1
1357,0
4533,1
1518,0
7373,0
8925,0
5969,0
7702,0
8490,1
6952,0
4579,1
2417,0
5950,1
8040,0
5924,0
2063,1
1734,0
7575,0
5468,0
6744,0
2826,0
2421,0
9113,0
6261,0
557,1
7500,0
5154,0
9425,0
2711,0
8838,1
9934,1
9812,0
2019,0
1003,1
9237,1
6528,0
2510,0
1987,1
1202,0
3969,1
8320,0
3404,0
780,0
2571,0
3808,0
9321,1
4335,1
7461,0
2939,1
993,0
6293,0
3390,0
772,0
471,1
437,0
7318,0
812,0
2337,0
2822,0
6727,1
7593,0
8398,1
6842,0
9658,0
1090,0
3733,0
701,0
9461,0
4304,0
1835,0
3903,0
2430,1
3036,0
1123,1
3775,0
2312,1
8716,0
5943,0
4802,0
8493,1
5667,0
9140,0
7659,0
2767,0
242,0
5430,0
290,0
2631,0
3785,0
4627,0
8849,0
4457,0
4212,0
4958,0
8164,0
5896,0
2018,0
3169,0
586,1
2901,0
6574,0
7213,1
6784,0
1626,1
1171,1
1298,0
8342,0
5404,0
5518,0
8588,0
3666,0
8677,0
6769,0
231,0
8518,1
4906,0
7530,0
8795,1
6537,0
116,0
8968,0
5019,1
633,0
1369,1
3220,0
6126,0
5532,0
440,0
5001,0
6978,0
1246,0
969,0
8593,0
9238,0
3508,0
9162,1
5023,0
215,1
5192,0
9012,0
59,0
898,1
3822,0
9644,0
3420,0
5480,0
68,0
9777,0
8161,0
4919,0
6157,0
7966,0
9852,1
1405,1
2062,0
8436,0
9132,0
9829,0
171,0
6145,0
7256,0
5296,1
8218,0
2581,0
6112,0
2948,0
1879,0
6907,0
1984,0
963,1
8527,0
1500,1
3489,0
3629,0
7553,0
1308,0
9460,0
4895,0
7893,0
4237,0
3773,0
1620,0
8130,0
7716,0
6869,1
6411,0
1964,1
7501,0
7348,0
3364,0
9168,0
8117,1
3303,1
7860,0
4953,0
6440,1
8357,0
8037,0
6619,0
63,0
5661,0
7849,0
3973,0
8727,0
8155,0
2140,0
3674,0
3831,0
4011,0
3904,0
1242,0
3599,0
2605,0
4081,0
5516,0
8761,1
5108,0
7815,0
3659,1
941,0
1278,0
1611,1
1198,0
3162,0
9302,0
7635,0
1800,0
6066,0
4704,0
9707,0
1762,0
6162,0
1070,1
4214,0
3050,1
972,0
5042,0
6265,0
3589,0
8814,0
3588,0
2466,0
6004,0
1318,1
6231,1
9336,0
7273,0
6473,0
513,0
8975,0
3382,0
7218,0
219,1
9332,1
7726,0
7738,0
4930,0
9227,0
3682,0
3031,0
8841,0
4029,0
2818,0
6846,0
684,0
6133,0
5717,0
1181,0
